NDC,ATC
24 HR quetiapine 50 MG Extended Release Oral Tablet [Seroquel],ANTIPSYCHOTICS
abacavir 20 MG/ML Oral Solution [Ziagen],DIRECT ACTING ANTIVIRALS
clotrimazole 10 MG/ML Vaginal Cream,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
Hydrocortisone 0.01 MG/MG Topical Ointment [Tucks HC],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
Pilocarpine Hydrochloride 5 MG Oral Tablet [Salagen],PARASYMPATHOMIMETICS
50 ML levofloxacin 5 MG/ML Injection,QUINOLONE ANTIBACTERIALS
silver sulfadiazine 10 MG/ML Topical Cream [SSD],CHEMOTHERAPEUTICS FOR TOPICAL USE
12 HR Albuterol 4 MG Extended Release Oral Tablet [Vospire],ADRENERGICS FOR SYSTEMIC USE
Calcitriol 0.0005 MG Oral Capsule [Rocaltrol],"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
0.5 ML vitamin K1 2 MG/ML Prefilled Syringe,VITAMIN K AND OTHER HEMOSTATICS
168 HR clonidine 0.0125 MG/HR Transdermal System,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
tropicamide 5 MG/ML Ophthalmic Solution,MYDRIATICS AND CYCLOPLEGICS
mercaptopurine 50 MG Oral Tablet,ANTIMETABOLITES
ketorolac tromethamine 5 MG/ML Ophthalmic Solution [Acular],"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC"
1 ML methylergonovine maleate 0.2 MG/ML Injection,UTEROTONICS
risperidone 0.5 MG Oral Tablet [Risperdal],ANTIPSYCHOTICS
risperidone 1 MG Oral Tablet [Risperdal],ANTIPSYCHOTICS
buprenorphine 8 MG / naloxone 2 MG Sublingual Film [Suboxone],DRUGS USED IN ADDICTIVE DISORDERS
midodrine hydrochloride 2.5 MG Oral Tablet,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
dorzolamide 20 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Cosopt],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
ketamine 10 MG/ML Injectable Solution,"ANESTHETICS, GENERAL"
ketoconazole 200 MG Oral Tablet,ANTIADRENAL PREPARATIONS
potassium bicarbonate 0.208 MEQ/ML Oral Solution [K-Lyte],POTASSIUM SUPPLEMENTS
budesonide 0.125 MG/ML Inhalation Suspension,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
Minocycline 50 MG Oral Capsule [Minocin],Tetracycline antibiotics
Propylthiouracil 50 MG Oral Tablet,ANTITHYROID PREPARATIONS
sildenafil 20 MG Oral Tablet [Revatio],UROLOGICALS
carbamazepine 200 MG Oral Tablet,ANTIEPILEPTICS
Bupivacaine Hydrochloride 1.25 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
olanzapine 10 MG Disintegrating Oral Tablet,ANTIPSYCHOTICS
cephalexin 50 MG/ML Oral Suspension,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
sumatriptan 50 MG Oral Tablet,ANTIMIGRAINE PREPARATIONS
methotrexate 25 MG/ML Injectable Solution,ANTIMETABOLITES
lenalidomide 15 MG Oral Capsule [Revlimid],IMMUNOSUPPRESSANTS
nafcillin 1000 MG Injection,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
Glucose 50 MG/ML / Potassium Chloride 0.04 MEQ/ML Injectable Solution,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
Carbamazepine 200 MG Oral Tablet [Tegretol],ANTIEPILEPTICS
Carbamazepine 100 MG Chewable Tablet [Tegretol],ANTIEPILEPTICS
cobicistat 150 MG / elvitegravir 150 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet [Stribild],DIRECT ACTING ANTIVIRALS
Divalproex Sodium 125 MG Delayed Release Oral Tablet,ANTIEPILEPTICS
6-Aminocaproic Acid 500 MG Oral Tablet [Amicar],ANTIFIBRINOLYTICS
digoxin antibodies Fab fragments 9.5 MG/ML Injectable Solution [Digibind],ALL OTHER THERAPEUTIC PRODUCTS
mineral oil 1000 MG/ML Oral Solution,DRUGS FOR CONSTIPATION
10 ML tranexamic acid 100 MG/ML Injection,ANTIFIBRINOLYTICS
Hydrocortisone 10 MG/ML Topical Cream,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
glimepiride 1 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
Amylases 30000 UNT / Endopeptidases 30000 UNT / Lipase 8000 UNT Oral Tablet [Viokase 8],"DIGESTIVES, INCL. ENZYMES"
ropinirole 1 MG Oral Tablet [Requip],DOPAMINERGIC AGENTS
rosiglitazone 8 MG Oral Tablet [Avandia],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
carbidopa 50 MG / levodopa 200 MG Extended Release Oral Tablet,DOPAMINERGIC AGENTS
Ascorbic Acid 100 MG/ML Oral Solution,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS"
1 ML meperidine hydrochloride 25 MG/ML Injection,OPIOID ANALGESICS
Clindamycin 10 MG/ML Topical Solution,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.005 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML / diphtheria toxoid vaccine, inactiv...","BACTERIAL AND VIRAL VACCINES, COMBINED"
"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.005 UNT/ML / Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML / diphtheria toxoid vaccine, inacti...","BACTERIAL AND VIRAL VACCINES, COMBINED"
lansoprazole 30 MG Enteric Coated Capsule [Prevacid],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
Progesterone 0.04 MG/MG Vaginal Gel [Crinone],PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
{4 (risedronate sodium 35 MG Oral Tablet [Actonel]) } Pack [Actonel 35 4-Week],DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
Carmustine 33.3 MG/ML Injectable Solution [BiCNU],ALKYLATING AGENTS
Cytarabine 20 MG/ML Injectable Solution,ANTIMETABOLITES
Melphalan 5 MG/ML Injectable Solution [Alkeran I.V.],ALKYLATING AGENTS
20 ML clofarabine 1 MG/ML Injection [Clolar],ANTIMETABOLITES
5 ML Cyclosporine 50 MG/ML Injection,IMMUNOSUPPRESSANTS
Acetaminophen 100 MG/ML Oral Suspension [Mapap],OTHER ANALGESICS AND ANTIPYRETICS in ATC
mycophenolate mofetil 250 MG Oral Capsule [Cellcept],IMMUNOSUPPRESSANTS
anidulafungin 3.33 MG/ML Injectable Solution [Eraxis],ANTIMYCOTICS FOR SYSTEMIC USE
Pentamidine Isethionate 100 MG/ML Injectable Solution,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS
lamivudine 150 MG Oral Tablet,DIRECT ACTING ANTIVIRALS
phenoxybenzamine hydrochloride 10 MG Oral Capsule [Dibenzyline],PERIPHERAL VASODILATORS
ethambutol hydrochloride 400 MG Oral Tablet [Myambutol],DRUGS FOR TREATMENT OF TUBERCULOSIS
2 ML amikacin 250 MG/ML Injection,AMINOGLYCOSIDE ANTIBACTERIALS
buprenorphine 8 MG / naloxone 2 MG Sublingual Film,DRUGS USED IN ADDICTIVE DISORDERS
2 ML caffeine 125 MG/ML / sodium benzoate 125 MG/ML Injection,OTHER DIAGNOSTIC AGENTS in ATC
24 HR paliperidone 6 MG Extended Release Oral Tablet [Invega],ANTIPSYCHOTICS
entecavir 0.5 MG Oral Tablet [Baraclude],DIRECT ACTING ANTIVIRALS
mirtazapine 15 MG Disintegrating Oral Tablet,ANTIDEPRESSANTS
5 ML Phenylephrine Hydrochloride 0.1 MG/ML Prefilled Syringe,ALL OTHER THERAPEUTIC PRODUCTS
guaifenesin 20 MG/ML Oral Solution [Scot-Tussin],"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
sodium hypochlorite 1.25 MG/ML Topical Solution,ANTISEPTICS AND DISINFECTANTS
mesalamine 400 MG Delayed Release Oral Tablet [Asacol],INTESTINAL ANTIINFLAMMATORY AGENTS
glycopyrrolate 1 MG Oral Tablet,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
liothyronine sodium 0.05 MG Oral Tablet,THYROID PREPARATIONS
potassium iodide 1000 MG/ML Oral Solution [SSKI brand of Potassium Iodide],"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
Pramipexole dihydrochloride 0.25 MG Oral Tablet [Mirapex],DOPAMINERGIC AGENTS
risperidone 0.25 MG Oral Tablet,ANTIPSYCHOTICS
POLYETHYLENE GLYCOL 3350 142 MG/ML Oral Solution [Glycolax],DRUGS FOR CONSTIPATION
1 ML paliperidone palmitate 156 MG/ML Prefilled Syringe [Invega],ANTIPSYCHOTICS
500 ML tromethamine 36 MG/ML Injection,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
EGG YOLK PHOSPHOLIPIDS 12 MG/ML / Glycerol 22.5 MG/ML / Soybean Oil 200 MG/ML Injectable Suspension [Intralipid],ALL OTHER THERAPEUTIC PRODUCTS
Calcium Chloride 0.68 MEQ/ML Injectable Solution,CALCIUM SUPPLEMENTS
10 ML fosphenytoin sodium 75 MG/ML Injection [Cerebyx],ANTIEPILEPTICS
glimepiride 2 MG Oral Tablet [Amaryl],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
500 ML glucose 200 MG/ML Injection,OTHER NUTRIENTS in ATC
atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine hydrobromide 0.0065 MG Oral Tablet [Donnatal],ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
Propantheline 15 MG Oral Tablet,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
Piroxicam 10 MG Oral Capsule,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
pioglitazone 15 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
1 ML lorazepam 2 MG/ML Injection,ANXIOLYTICS
moexipril hydrochloride 15 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
12 HR carbamazepine 200 MG Extended Release Oral Tablet,ANTIEPILEPTICS
Carbamazepine 200 MG 12 hour Extended Release Tablet [Tegretol XR],ANTIEPILEPTICS
5 ML valproic acid 100 MG/ML Injection [Depacon],ANTIEPILEPTICS
megestrol acetate 20 MG Oral Tablet,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
Metoclopramide 5 MG/ML Injectable Solution [Reglan],PROPULSIVES
petrolatum 0.41 MG/MG Topical Ointment [Aquaphor],ALL OTHER THERAPEUTIC PRODUCTS
Asenapine 5 MG Sublingual Tablet [Saphris],ANTIPSYCHOTICS
prednisolone acetate 10 MG/ML Ophthalmic Suspension [Pred Forte],"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC"
loperamide hydrochloride 0.133 MG/ML Oral Suspension,ANTIPROPULSIVES
5 ML levocarnitine 200 MG/ML Injection,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC
Granisetron 1 MG Oral Tablet [Kytril],ANTIEMETICS AND ANTINAUSEANTS
dasatinib 100 MG Oral Tablet [Sprycel],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
1 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection [Recombivax],VIRAL VACCINES
Leucovorin 20 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
leucovorin 100 MG Injection,ALL OTHER THERAPEUTIC PRODUCTS
clindamycin 15 MG/ML Oral Solution [Cleocin],"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
difluprednate 0.5 MG/ML Ophthalmic Suspension [Durezol],"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN"
nitazoxanide 500 MG Oral Tablet [Alinia],AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
"50 ML immunoglobulin G, human 100 MG/ML Injection [Gammagard]",IMMUNOGLOBULINS
bendamustine hydrochloride 25 MG/ML Injectable Solution [Bendeka],ALKYLATING AGENTS
paromomycin 250 MG Oral Capsule,INTESTINAL ANTIINFECTIVES
CLOFAZIMINE POWDER,"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC"
250 ML foscarnet sodium 24 MG/ML Injection [Foscavir],DIRECT ACTING ANTIVIRALS
cupric chloride 1.07 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
letermovir 480 MG Oral Tablet [Prevymis],DIRECT ACTING ANTIVIRALS
Testosterone 0.208 MG/HR 24 Hour Transdermal Patch [Androderm],ANDROGENS
progesterone 100 MG Oral Capsule,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
Dextroamphetamine Sulfate 5 MG Oral Tablet [Dexedrine],"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
0.4 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra],ANTITHROMBOTIC AGENTS
ascorbic acid 500 MG/ML Injectable Solution,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS"
linezolid 20 MG/ML Oral Suspension [Zyvox],OTHER ANTIBACTERIALS in ATC
aztreonam 2000 MG Injection [Azactam],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
flurbiprofen sodium 0.3 MG/ML Ophthalmic Solution [Ocufen],"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC"
10 ML nicardipine hydrochloride 2.5 MG/ML Injection [Cardene],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
lovastatin 20 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
promethazine hydrochloride 25 MG Oral Tablet,ANTIHISTAMINES FOR SYSTEMIC USE
lithium carbonate 450 MG Extended Release Oral Tablet,ANTIPSYCHOTICS
salicylic acid 20 MG/ML / sulfur 20 MG/ML Medicated Shampoo [Sebex],OTHER DERMATOLOGICAL PREPARATIONS in ATC
benzoyl peroxide 0.1 MG/MG Topical Gel,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
ziprasidone 60 MG Oral Capsule,ANTIPSYCHOTICS
mycophenolic acid 360 MG Delayed Release Oral Tablet,IMMUNOSUPPRESSANTS
itraconazole 100 MG Oral Capsule,ANTIMYCOTICS FOR SYSTEMIC USE
terbinafine hydrochloride 10 MG/ML Topical Cream,ANTIFUNGALS FOR SYSTEMIC USE
tacrolimus 0.001 MG/MG Topical Ointment [Protopic],OTHER DERMATOLOGICAL PREPARATIONS in ATC
Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML Oral Suspension,SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE
sulfamethoxazole 40 MG/ML / trimethoprim 8 MG/ML Oral Suspension,SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE
dimenhydrinate 50 MG Oral Tablet [Driminate],ALL OTHER THERAPEUTIC PRODUCTS
Furosemide 8 MG/ML Oral Solution,HIGH-CEILING DIURETICS
Trihexyphenidyl Hydrochloride 2 MG Oral Tablet,ANTICHOLINERGIC AGENTS
divalproex sodium 125 MG Delayed Release Oral Tablet,ANTIEPILEPTICS
0.5 ML Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumo...,BACTERIAL VACCINES
2 ML sodium nitroprusside 25 MG/ML Injection,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
Carbidopa 25 MG / Levodopa 250 MG Oral Tablet,DOPAMINERGIC AGENTS
leflunomide 20 MG Oral Tablet,IMMUNOSUPPRESSANTS
cevimeline 30 MG Oral Capsule [Evoxac],PARASYMPATHOMIMETICS
lubiprostone 0.024 MG Oral Capsule [Amitiza],DRUGS FOR CONSTIPATION
Acetylcysteine 200 MG/ML Inhalant Solution,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
risperidone 0.25 MG Oral Tablet [Risperdal],ANTIPSYCHOTICS
20 ML Ciprofloxacin 10 MG/ML Injection,QUINOLONE ANTIBACTERIALS
1 ML Hydromorphone Hydrochloride 10 MG/ML Injection [Dilaudid],OPIOID ANALGESICS
24 HR Bupropion Hydrochloride 150 MG Extended Release Tablet [Wellbutrin],ANTIDEPRESSANTS
CORNWALL METAL PIPET HOLDER,ALL OTHER THERAPEUTIC PRODUCTS
TALC POWDER,ALL OTHER THERAPEUTIC PRODUCTS
diphenhydramine hydrochloride 2.5 MG/ML Oral Solution [Banophen],ANTIHISTAMINES FOR SYSTEMIC USE
sulindac 150 MG Oral Tablet,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
lacosamide 10 MG/ML Oral Solution [Vimpat],ANTIEPILEPTICS
sildenafil 25 MG Oral Tablet [Viagra],UROLOGICALS
Iloprost 0.01 MG/ML Inhalant Solution [Ventavis],ANTITHROMBOTIC AGENTS
Acarbose 50 MG Oral Tablet [Precose],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
Phenytoin sodium 100 MG Extended Release Capsule [Dilantin],ANTIEPILEPTICS
24 HR Nifedipine 30 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
5 ML lidocaine hydrochloride 40 MG/ML Injection [Xylocaine],"ANTIARRHYTHMICS, CLASS I AND III"
Benazepril hydrochloride 20 MG Oral Tablet [Lotensin],"ACE INHIBITORS, PLAIN"
Benazepril hydrochloride 10 MG Oral Tablet [Lotensin],"ACE INHIBITORS, PLAIN"
24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal],ANTIEPILEPTICS
clobazam 20 MG Oral Tablet [Onfi],ANXIOLYTICS
clobazam 2.5 MG/ML Oral Suspension [Onfi],ANXIOLYTICS
zonisamide 100 MG Oral Capsule [Zonegran],ANTIEPILEPTICS
24 HR paliperidone 3 MG Extended Release Oral Tablet,ANTIPSYCHOTICS
testosterone cypionate 200 MG/ML Injectable Solution [Depo-testosterone],ANDROGENS
1 ML enoxaparin sodium 150 MG/ML Prefilled Syringe [Lovenox],ANTITHROMBOTIC AGENTS
"10 ML rabies immune globulin, human 150 UNT/ML Injection [HyperRAB]",IMMUNOGLOBULINS
rabies virus vaccine flury-lep strain 2.5 UNT/ML Injectable Suspension [RabAvert],VIRAL VACCINES
3 ML liraglutide 6 MG/ML Pen Injector [Victoza],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
24 HR rotigotine 0.0833 MG/HR Transdermal System [Neupro],DOPAMINERGIC AGENTS
carteolol hydrochloride 10 MG/ML Ophthalmic Solution,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
Norepinephrine 1 MG/ML Injectable Solution [Levophed],CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
desipramine hydrochloride 10 MG Oral Tablet,ANTIDEPRESSANTS
Ribavirin 200 MG Oral Capsule [Ribasphere],DIRECT ACTING ANTIVIRALS
nebivolol 5 MG Oral Tablet [Bystolic],BETA BLOCKING AGENTS
Chlorpheniramine Maleate 4 MG Oral Tablet,ANTIHISTAMINES FOR SYSTEMIC USE
bethanechol chloride 5 MG Oral Tablet,PARASYMPATHOMIMETICS
sirolimus 1 MG/ML Oral Solution [Rapamune],IMMUNOSUPPRESSANTS
terconazole 4 MG/ML Vaginal Cream,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
decitabine 50 MG Injection,ANTIMETABOLITES
piperacillin 3000 MG / tazobactam 375 MG Injection [Zosyn],"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
glycerin 2000 MG Rectal Suppository,DRUGS FOR CONSTIPATION
bacitracin 0.5 UNT/MG Topical Ointment,ANTIBIOTICS FOR TOPICAL USE
etravirine 100 MG Oral Tablet [Intelence],DIRECT ACTING ANTIVIRALS
montelukast 5 MG Chewable Tablet [Singulair],OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
5 ML pegaspargase 750 UNT/ML Injection [Oncaspar],OTHER ANTINEOPLASTIC AGENTS in ATC
2 ML pralatrexate 20 MG/ML Injection [Folotyn],ANTIMETABOLITES
ofloxacin 3 MG/ML Ophthalmic Solution,ANTIINFECTIVE OPHTHALMOLOGICS
50 ML mannitol 250 MG/ML Injection,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
1.5 ML fomepizole 1000 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
10 ML dopamine hydrochloride 40 MG/ML Injection,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
acyclovir 40 MG/ML Oral Suspension,DIRECT ACTING ANTIVIRALS
piroxicam 10 MG Oral Capsule,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
nefazodone hydrochloride 100 MG Oral Tablet,ANTIDEPRESSANTS
mesalamine 800 MG Delayed Release Oral Tablet [Asacol],INTESTINAL ANTIINFLAMMATORY AGENTS
Hetastarch 60 MG/ML Injectable Solution,BLOOD AND RELATED PRODUCTS
Pilocarpine Hydrochloride 40 MG/ML Ophthalmic Solution [Pilostat],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
pilocarpine hydrochloride 20 MG/ML Ophthalmic Solution,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
pyridostigmine bromide 60 MG Oral Tablet [Mestinon],PARASYMPATHOMIMETICS
Silver Sulfadiazine 10 MG/ML Topical Cream [Silvadene],CHEMOTHERAPEUTICS FOR TOPICAL USE
50 ML Magnesium Sulfate 500 MG/ML Injection,OTHER MINERAL SUPPLEMENTS in ATC
rifampin 150 MG Oral Capsule,DRUGS FOR TREATMENT OF TUBERCULOSIS
tolterodine tartrate 2 MG Oral Tablet,UROLOGICALS
"insulin aspart protamine, human 70 UNT/ML / insulin aspart, human 30 UNT/ML Injectable Suspension [NovoLog Mix]",INSULINS AND ANALOGUES
Verapamil hydrochloride 180 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
Divalproex Sodium 250 MG Enteric Coated Tablet [Depakote],ANTIEPILEPTICS
8 HR methylphenidate hydrochloride 20 MG Extended Release Oral Tablet,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
chlorpromazine hydrochloride 100 MG Oral Tablet,ANTIPSYCHOTICS
thiothixene 5 MG Oral Capsule,ANTIPSYCHOTICS
Aldesleukin 1.1 MG/ML Injectable Solution [Proleukin],IMMUNOSTIMULANTS
Dacarbazine 10 MG/ML Injectable Solution [DTIC-Dome],ALL OTHER THERAPEUTIC PRODUCTS
Aldesleukin 22000000 UNT Injection [Proleukin],IMMUNOSTIMULANTS
Vinblastine Sulfate 1 MG/ML Injectable Solution,"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS"
Cisplatin 1 MG/ML Injectable Solution [Platinol-AQ],OTHER ANTINEOPLASTIC AGENTS in ATC
interferon alfa-2b 10000000 UNT Injection [Intron A],IMMUNOSTIMULANTS
Dacarbazine 200 MG Injection,ALKYLATING AGENTS
minoxidil 2.5 MG Oral Tablet,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
PRISMASOL BGK 2/3.5 DIALYSIS,ALL OTHER THERAPEUTIC PRODUCTS
Bethanechol Chloride 5 MG Oral Tablet [Urecholine],PARASYMPATHOMIMETICS
Scopolamine 2.5 MG/ML Ophthalmic Solution [Isopto Hyoscine],MYDRIATICS AND CYCLOPLEGICS
5 ML isoproterenol hydrochloride 0.2 MG/ML Injection [Isuprel],CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
naltrexone 380 MG Injection [Vivitrol],ALL OTHER THERAPEUTIC PRODUCTS
dorzolamide 20 MG/ML / timolol 5 MG/ML Ophthalmic Solution [Cosopt],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
25 ML sodium chloride 9 MG/ML Injection,I.V. SOLUTION ADDITIVES
gatifloxacin 3 MG/ML Ophthalmic Solution [Zymar],ANTIINFECTIVE OPHTHALMOLOGICS
5 ML fulvestrant 50 MG/ML Prefilled Syringe [Faslodex],HORMONE ANTAGONISTS AND RELATED AGENTS
rimantadine hydrochloride 100 MG Oral Tablet,DIRECT ACTING ANTIVIRALS
Indigotindisulfonate Sodium 8 MG/ML Injectable Solution [Indigo Carmine trade name],ALL OTHER THERAPEUTIC PRODUCTS
zinc oxide 0.2 MG/MG Paste [Critic-Aid Skin],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
dofetilide 0.5 MG Oral Capsule,"ANTIARRHYTHMICS, CLASS I AND III"
entacapone 200 MG Oral Tablet [Comtan],DOPAMINERGIC AGENTS
100 ML eptifibatide 0.75 MG/ML Injection,ANTITHROMBOTIC AGENTS
venlafaxine 37.5 MG Oral Tablet [Effexor],ANTIDEPRESSANTS
Bethanechol Chloride 25 MG Oral Tablet,PARASYMPATHOMIMETICS
risperidone 50 MG Injection [Risperdal],ANTIPSYCHOTICS
Ethacrynic Acid 25 MG Oral Tablet [Edecrin],HIGH-CEILING DIURETICS
epoprostenol 1.5 MG Injection [Flolan],ANTITHROMBOTIC AGENTS
ethacrynate sodium 50 MG Injection [Edecrin],HIGH-CEILING DIURETICS
Milrinone 1 MG/ML Injectable Solution,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
Guanfacine 1 MG Oral Tablet [Tenex],"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
isoniazid 100 MG Oral Tablet,DRUGS FOR TREATMENT OF TUBERCULOSIS
Ceftazidime 200 MG/ML Injectable Solution [Fortaz],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
Cytarabine 100 MG/ML Injectable Solution,ANTIMETABOLITES
10 ML Methotrexate 25 MG/ML Injection,ANTIMETABOLITES
rivastigmine 1.5 MG Oral Capsule,ANTI-DEMENTIA DRUGS
pentoxifylline 400 MG Extended Release Oral Tablet,PERIPHERAL VASODILATORS
lubiprostone 0.008 MG Oral Capsule [Amitiza],DRUGS FOR CONSTIPATION
budesonide 0.125 MG/ML Inhalation Suspension [Pulmicort],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
risperidone 25 MG Injection [Risperdal],ANTIPSYCHOTICS
moxifloxacin 1.6 MG/ML Injectable Solution [Avelox I.V.],QUINOLONE ANTIBACTERIALS
0.4 ML Fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra],ANTITHROMBOTIC AGENTS
2 ML eribulin mesylate 0.5 MG/ML Injection [Halaven],OTHER ANTINEOPLASTIC AGENTS in ATC
Papain 830 UNT/MG / Urea 0.1 MG/MG Topical Ointment [Accuzyme],EMOLLIENTS AND PROTECTIVES
